uri,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,duration_ms_y,liveness,tempo,time_signature,valence,album_release_date
spotify:track:0y60itmpH0aPKsFiGxmtnh,82,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,196520,0.0943,101.003,4,0.672,2015-01-11
spotify:track:3EaJDYHA0KnX88JvDhL9oa,90,0.603,0.784,6,-4.023,1,0.062,0.446,8.32e-06,173104,0.119,172.041,4,0.769,2017-02-20
spotify:track:7B3z0ySL9Rr0XvZEAjWZzM,82,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,188387,0.231,112.997,4,0.641,2019-08-02
spotify:track:0uI7yAKUf52Cn7y3sYyjiX,74,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,177667,0.104,151.891,4,0.877,2018-10-16
spotify:track:4nK5YrxbMGZstTLbvj6Gxw,70,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,223480,0.123,128.977,4,0.817,2019-11-15
spotify:track:01TyFEZu6mHbffsVfxgrFn,85,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,215111,0.102,165.99,4,0.544,2018-02-28
spotify:track:6FfLg6FFqhCsrFOaHIGkg0,75,0.74,0.688,5,-4.361,0,0.0916,0.061,0.0,135581,0.138,115.035,4,0.935,2020-10-27
spotify:track:3NRql0A1Ef4RCvT473iqgD,80,0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,213573,0.112,210.164,4,0.72,2019-08-15
spotify:track:61OJxhoY3Ix50rYVKo8zRK,79,0.641,0.842,9,-7.27,1,0.0292,0.134,0.911,278769,0.419,129.978,4,0.499,2019-11-14
spotify:track:4vHNeBWDQpVCmGbaccrRzi,78,0.739,0.522,7,-12.304,0,0.151,0.821,0.00124,146390,0.233,138.263,4,0.619,2017-11-05
spotify:track:4S4QJfBGGrC8jRIjJHf1Ka,84,0.829,0.617,1,-8.497,1,0.14,0.227,0.00306,98544,0.0618,125.605,4,0.81,2021-10-15
spotify:track:6RiiSy9GzSwiyDEJDiMuKe,83,0.648,0.781,9,-8.736,0,0.0271,0.0332,0.013,153313,0.305,133.417,4,0.822,2021-08-27
spotify:track:7h2nmmoWDi2UpfYKLKWLYB,76,0.548,0.765,6,-4.463,1,0.0525,0.646,0.00378,252231,0.522,129.933,4,0.573,2017-03-22
spotify:track:0j3mqDTK4Z6lvrLzFCUUz6,83,0.364,0.554,4,-9.076,1,0.0301,0.077,0.000297,214800,0.125,150.079,3,0.257,2022-08-18
spotify:track:0rKtyWc8bvkriBthvHKY8d,84,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,209274,0.191,88.964,4,0.284,2018-10-26
spotify:track:69BSm4vFLLo4L8nUulybMc,63,0.86,0.422,1,-9.785,1,0.0296,0.541,0.00449,106800,0.139,99.958,4,0.523,2021-04-19
spotify:track:69BSm4vFLLo4L8nUulybMc,63,0.86,0.422,1,-9.785,1,0.0296,0.541,0.00449,106800,0.139,99.958,4,0.523,2021-04-19
spotify:track:69BSm4vFLLo4L8nUulybMc,63,0.86,0.422,1,-9.785,1,0.0296,0.541,0.00449,106800,0.139,99.958,4,0.523,2021-04-19
spotify:track:69BSm4vFLLo4L8nUulybMc,63,0.86,0.422,1,-9.785,1,0.0296,0.541,0.00449,106800,0.139,99.958,4,0.523,2021-04-19
spotify:track:5B6Kjha6RRIMWGN7zGsAaT,68,0.795,0.576,6,-4.971,1,0.0289,0.0787,1.01e-05,183861,0.121,111.975,4,0.847,2019-10-18
spotify:track:3hxIUxnT27p5WcmjGUXNwx,89,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,164571,0.103,138.419,4,0.376,2020-02-10
spotify:track:1gk3FhAV07q9Jg77UxnVjX,71,0.487,0.369,11,-13.424,0,0.0406,0.736,3.75e-05,289307,0.0925,183.114,4,0.106,2014-06-03
spotify:track:2xhGZ3WzOa3tir28y7Cb88,76,0.719,0.36,6,-12.034,1,0.398,0.748,2.18e-06,124000,0.0812,80.184,4,0.409,2017-08-14
spotify:track:0NuWgxEp51CutD2pJoF4OM,66,0.765,0.663,0,-5.223,1,0.0652,0.141,0.000297,153293,0.0924,150.091,4,0.686,2020-10-21
spotify:track:71BWZa1liIRyUiuJ3MB66o,82,0.454,0.385,10,-12.849,1,0.0313,0.287,9.97e-05,251667,0.0616,154.918,4,0.144,2017-05-12
spotify:track:4CYeId6mLAasOb6o0NCz4Y,75,0.327,0.684,10,-5.576,1,0.177,0.506,0.0,312000,0.427,86.89,5,0.425,2017-05-25
spotify:track:0Psz3az3RIYfJpnsajBT8N,66,0.685,0.735,4,-6.337,0,0.0334,0.191,0.038,190827,0.188,94.035,3,0.385,2017-05-19
spotify:track:1sx0XsWUusUoPstbvokZjP,75,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,173640,0.183,82.488,4,0.862,2021-05-20
spotify:track:7888F1QWPTn4cPbuknNV4T,65,0.779,0.721,6,-6.371,1,0.214,0.122,0.00252,165499,0.0765,178.046,4,0.822,2020-09-18
spotify:track:4nlvKIIetOWGIMyhjQXgOZ,71,0.56,0.865,1,-1.148,1,0.0909,0.255,0.000153,139663,0.083,159.96,4,0.424,2020-03-11
