uri,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,duration_ms_y,liveness,tempo,time_signature,valence,album_release_date
spotify:track:27sBcXtgTBSJRdUxei1a7J,64,0.766,0.539,7,-4.927,1,0.0479,0.402,0.0,188501,0.104,120.175,4,0.888,2021-10-15
spotify:track:6AGOKlMZWLCaEJGnaROtF9,75,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,210463,0.11,91.066,4,0.151,2020-04-24
spotify:track:2MvvoeRt8NcOXWESkxWn3g,81,0.511,0.472,4,-9.277,1,0.091,0.534,0.614,258969,0.11,127.978,4,0.0399,2013-09-27
spotify:track:0R3TWpoxAhT3HDXM7tpRzS,70,0.665,0.351,2,-9.424,1,0.0276,0.516,0.819,126120,0.109,87.057,4,0.451,2019-06-14
spotify:track:5ECxiK4Vigo1yRRmAoZc1f,69,0.622,0.739,8,-6.219,1,0.0441,0.0156,0.0,206587,0.111,97.017,4,0.435,2022-06-24
spotify:track:4LyIHEDbAWDeKV0JbVZae9,69,0.394,0.565,2,-7.264,1,0.126,0.518,1.68e-06,235226,0.0853,90.773,4,0.308,2018-04-05
spotify:track:6DwiGVCgXGREeCyJZtX7S1,62,0.654,0.47,1,-10.383,0,0.0586,0.274,0.249,202597,0.103,77.083,4,0.462,2018-02-21
spotify:track:2enPRFda84VE2wtI8c86Uf,82,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,223747,0.198,163.378,4,0.36,2013-10-15
spotify:track:3vjs2MDHoF9xhylNg6Y9un,68,0.641,0.365,7,-11.765,1,0.027,0.434,8.49e-06,272157,0.297,134.874,4,0.343,2019-09-13
spotify:track:3WD2cic9S2VrGIb6h114MM,68,0.69,0.528,9,-6.1,1,0.027,0.647,0.0,210000,0.428,112.001,4,0.427,2019-08-28
spotify:track:0tMMPZEt6Gyrl9FI8zSicm,78,0.621,0.393,1,-9.553,1,0.0275,0.778,0.00703,135067,0.104,113.925,3,0.53,2023-04-17
spotify:track:3DXHaJzqRCgv3rd5U9EoXU,59,0.829,0.435,0,-10.136,1,0.0515,0.0363,0.881,230147,0.119,103.817,4,0.594,2023-03-16
spotify:track:4xqrdfXkTW4T0RauPLv3WA,88,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,198040,0.322,102.078,3,0.27,2020-03-20
spotify:track:3GahMRXI3rL2JVeSLZBRnF,65,0.535,0.209,6,-16.402,1,0.0257,0.668,0.14,136033,0.129,137.889,4,0.515,2014-11-14
spotify:track:0U3u0HdRQjD8mAMYBak4Ok,61,0.607,0.451,4,-8.206,1,0.0286,0.0604,0.0,208280,0.19,94.054,4,0.676,2017-06-30
spotify:track:1RJl5cZ8kFpoVFOS2x6scI,69,0.858,0.426,10,-8.879,0,0.0402,0.00586,0.761,192897,0.0977,89.981,4,0.419,2021-06-04
spotify:track:1TgCchWmdmmhGrtsa8NHwY,65,0.673,0.497,4,-6.54,1,0.0417,0.358,8.52e-06,179120,0.433,101.905,4,0.476,2023-02-24
spotify:track:16gJmoOqRt2lKmlXtDpWgH,71,0.646,0.47,0,-10.697,0,0.0284,0.4,0.0348,258714,0.11,113.995,4,0.651,2018-09-28
spotify:track:3jHdKaLCkuNEkWcLVmQPCX,81,0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,127921,0.334,98.265,3,0.34,2020-01-25
spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,81,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,232115,0.383,168.955,4,0.69,2022-06-29
spotify:track:4FF0tP9mkoiFKLiXFeXm0q,57,0.686,0.456,0,-7.81,1,0.234,0.662,8.93e-06,93871,0.357,96.889,3,0.569,2020-08-05
spotify:track:2d3QlXE6FXFDeodiS66yjM,69,0.409,0.594,1,-9.725,1,0.031,0.032,0.0391,209455,0.0904,110.187,4,0.212,2019-01-19
spotify:track:4HfLQJtVT1KiX1eVedDyTm,72,0.847,0.386,9,-10.668,0,0.0507,0.411,0.00176,188000,0.108,104.001,4,0.178,2019-01-18
spotify:track:51Grh1RyUDcMBbpuyUIUHI,85,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,161929,0.106,137.35,3,0.203,2019-04-10
spotify:track:5PjdC2gMATetx5xdnwGUu7,79,0.541,0.382,7,-14.323,1,0.035,0.0215,0.000836,204991,0.304,155.901,4,0.343,2018-03-02
spotify:track:0TZejo18HlJ86OrWNsXKnw,83,0.471,0.634,8,-7.406,1,0.031,0.159,0.365,208500,0.374,132.542,4,0.366,2019-07-24
spotify:track:4zMmqb0pYwX6b0qc0slCoT,52,0.826,0.365,1,-7.024,1,0.0412,0.849,3.8e-06,239324,0.186,85.244,4,0.802,2019-02-19
spotify:track:0YMe6PHRbeDcN7KJdCG0bW,68,0.747,0.531,8,-5.99,1,0.0477,0.266,1.8e-06,184768,0.192,88.009,4,0.785,2021-11-05
spotify:track:0nsIevK1SeDfZzDOi6Si75,66,0.529,0.356,4,-10.942,1,0.0288,0.0276,0.0,204318,0.108,94.952,4,0.223,2021-04-23
spotify:track:2E1eJCNpEniIB1NsDqyGzR,53,0.686,0.677,1,-7.064,1,0.162,0.153,0.0,187800,0.0906,114.988,4,0.365,2021-02-19
spotify:track:5meVa5klVlJalupZTvv5XX,73,0.759,0.665,2,-6.338,1,0.0861,0.494,0.0,185173,0.109,125.056,4,0.391,2020-07-14
spotify:track:4gwltSjdrzKtKz9dlk2Wja,56,0.724,0.48,2,-7.537,1,0.0342,0.211,0.0772,187415,0.289,125.007,4,0.591,2020-04-03
spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,72,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,204533,0.19,122.973,4,0.516,2019-08-23
spotify:track:2vWBUC9djv6BtiGlmKiQaH,84,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,212750,0.287,123.735,3,0.228,2019-05-31
spotify:track:4rCKRVJZKVysScn2piDuOT,60,0.698,0.542,2,-4.317,1,0.131,0.132,0.00117,165391,0.199,140.096,4,0.664,2018-03-02
spotify:track:12jmugLskEWmYRLKYfMNSk,53,0.616,0.476,8,-7.351,0,0.029,0.137,4.26e-06,198117,0.235,127.982,4,0.379,2017-05-17
spotify:track:5EV4bGHxVN0kHpcAFvgnTt,66,0.602,0.601,9,-8.521,1,0.0411,0.037,0.0046,198000,0.312,122.017,4,0.856,2017-05-19
spotify:track:7FjIYiD53wxlQmzTT6Wdpf,67,0.669,0.395,9,-9.598,1,0.03,0.332,0.000196,231440,0.37,125.979,4,0.196,2020-03-27
spotify:track:5Yx9t9RgATAtYoHN8gbRM0,73,0.511,0.435,9,-10.254,1,0.0408,0.301,8.2e-05,124022,0.255,120.207,4,0.343,2016-04-01
spotify:track:1HHIv96gVeVkoOBzQeH9d8,61,0.718,0.772,5,-5.155,0,0.0529,0.298,0.0,221000,0.337,95.917,4,0.843,2021-01-29
spotify:track:1ahzHj4rfljE8w4ZwpEjOM,58,0.577,0.604,3,-7.84,0,0.0332,0.182,0.00211,318147,0.205,99.997,4,0.351,2016-11-18
spotify:track:7DYkWTA0ckaqm2MFfAIlQr,63,0.617,0.5,6,-5.747,1,0.034,0.386,0.00521,168747,0.107,90.026,4,0.516,2020-03-27
spotify:track:6GUQaa74JUSziJ9TT29Ghg,52,0.553,0.512,5,-7.759,1,0.0465,0.569,3.87e-05,195773,0.107,94.96,4,0.259,2020-08-28
spotify:track:3jjsRKEsF42ccXf8kWR3nu,86,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,128199,0.429,105.997,4,0.567,2018-08-17
spotify:track:77iRifbhkJGvGBBRNykUwN,56,0.651,0.465,4,-7.538,1,0.0328,0.503,0.0455,197040,0.495,107.75,4,0.585,2016-09-09
spotify:track:6uuBSo3wXnosEWVXRzZDTf,66,0.557,0.672,2,-10.802,1,0.104,0.478,0.803,180800,0.223,75.108,4,0.324,2017-01-11
spotify:track:0yiJNNm39cp1T7RnXOMVLX,52,0.836,0.74,9,-4.77,0,0.057,0.0622,0.0034,177920,0.121,101.986,4,0.445,2020-09-25
spotify:track:4qbEaaJ29p32GI8EWQmm6R,70,0.783,0.472,2,-8.392,1,0.0427,0.22,0.000458,125256,0.0798,122.052,4,0.589,2021-08-25
spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,85,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,192790,0.104,117.956,5,0.766,2013-01-01
spotify:track:3qiX7QXv6w6y4wsr5KP6U1,58,0.817,0.577,6,-8.63,0,0.0658,0.117,0.000366,130714,0.183,112.025,4,0.928,2019-09-05
spotify:track:0KyAGiNGUytG5JLxJu4F6l,76,0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,178352,0.0592,112.127,4,0.695,2017-08-04
spotify:track:2u4XZR5A8cRPTPxBLJbAFC,48,0.56,0.674,10,-6.048,1,0.0446,0.697,0.0,197933,0.123,119.943,4,0.421,2019-09-17
spotify:track:35Ki1lvKPC2sFBD3GmKdRG,62,0.591,0.746,8,-7.762,1,0.0444,0.000729,0.0,194717,0.127,107.965,4,0.432,2017-05-26
spotify:track:65j65yDSE06CNKAPjsHoJt,59,0.587,0.724,6,-6.775,1,0.0321,0.618,0.000166,220588,0.157,106.994,4,0.837,2019-07-26
spotify:track:63bAGRSSX2V1hhPSP2NpBC,68,0.802,0.382,10,-7.356,1,0.0312,0.792,0.163,196800,0.0783,99.969,4,0.581,2018-04-06
spotify:track:3f9Mzvd3URfbbIJBX4pz9Z,75,0.884,0.539,1,-6.389,0,0.208,0.239,0.0,146827,0.0805,85.008,4,0.776,2019-07-04
spotify:track:5Ju9aLa212eAILfl5sWkjc,62,0.782,0.494,0,-1.458,1,0.0337,0.454,6.1e-05,127273,0.134,65.832,4,0.402,2018-05-30
spotify:track:0PiSok4AgEcnVSWSGiz86p,52,0.79,0.79,8,-3.64,1,0.0395,0.025,3.81e-05,186867,0.112,120.018,4,0.879,2022-06-10
spotify:track:5Ss6DqCldgTmIo6BekVOJT,61,0.625,0.285,1,-16.686,0,0.0537,0.438,0.00279,176761,0.192,140.02,4,0.357,2017-01-26
spotify:track:5JRMqkR82k2fdDEAim9SCN,69,0.646,0.682,7,-5.847,1,0.0759,0.683,4.84e-06,176732,0.107,131.895,4,0.421,2019-04-25
spotify:track:6MYJv37Mpj5njLLbxKWNun,64,0.91,0.402,1,-9.55,1,0.0857,0.0297,0.00018,216267,0.0801,135.993,4,0.825,2019-10-25
spotify:track:45StvejYUdIsyUwqdZ7iJM,53,0.732,0.413,9,-6.353,1,0.0702,0.287,0.0,154456,0.0565,92.066,4,0.761,2019-06-02
spotify:track:30bqNfOgcJOw2EWJJl1w5J,52,0.56,0.544,10,-8.25,1,0.0284,0.394,5.02e-05,188098,0.224,82.028,4,0.472,2021-02-12
spotify:track:4gsR34XSIE2fUY4odwZqym,65,0.612,0.725,7,-5.602,1,0.0416,0.305,0.0784,225667,0.0548,146.008,4,0.333,2016-08-05
spotify:track:7G7zCzvyqz39BFE7TqPM3O,60,0.568,0.587,11,-8.814,0,0.127,0.293,0.329,175241,0.137,174.682,4,0.491,2017-01-27
spotify:track:2mlGPkAx4kwF8Df0GlScsC,71,0.705,0.373,7,-9.066,1,0.0384,0.723,0.81,208026,0.289,120.046,4,0.551,2017-03-25
spotify:track:0vf2eBw2inhl8y61cYQMv2,77,0.576,0.759,3,-8.165,1,0.0599,0.12,0.0,179955,0.121,99.969,4,0.501,2015-11-09
spotify:track:3Gxu9gAd5rXsnSS0rUpRAs,57,0.881,0.758,8,-6.755,1,0.21,0.346,0.139,211865,0.206,119.049,4,0.7,2021-09-17
spotify:track:5qcwzdhDQjHjmu12gOLjY0,52,0.808,0.657,5,-6.67,1,0.298,0.526,0.00444,310597,0.075,88.932,4,0.786,2018-05-18
spotify:track:4PevTpnIWy2D1wIQZY3MmX,40,0.729,0.678,7,-6.162,1,0.223,0.295,0.0,125236,0.605,93.983,4,0.895,2017-06-16
spotify:track:3wO7lEbQYuxxEXmwfk335E,55,0.582,0.515,11,-9.283,0,0.0578,0.608,0.000641,263397,0.0931,115.732,4,0.603,2014-09-02
spotify:track:7pADtei8K3suMQlLBxR4iw,45,0.739,0.324,8,-13.088,1,0.0424,0.673,0.0855,191147,0.296,79.011,4,0.739,2019-07-10
