uri,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,duration_ms_y,liveness,tempo,time_signature,valence,album_release_date
spotify:track:2BwNvE8nMz6URu6ZSlQM3t,1,0.725,0.705,1,-10.888,1,0.0391,0.532,0.394,192486,0.0517,111.052,4,0.859,2022-05-27
spotify:track:1XOkBd2q1NOjsQ1oSOBjnn,3,0.641,0.787,5,-7.484,1,0.0724,0.000272,0.748,151912,0.159,155.018,4,0.675,2022-02-25
spotify:track:1GhSNd1GnFnTy42EEBPSLK,11,0.789,0.789,11,-5.059,0,0.0545,0.0624,4.36e-06,200897,0.106,117.061,4,0.658,2021-12-10
spotify:track:5dNxaT34wYwGWv7eqGviBm,24,0.691,0.75,0,-6.863,1,0.0591,0.0317,5.52e-05,163461,0.53,136.075,4,0.7,2022-03-02
spotify:track:3bS0jCMDRoLWyovMvmEktS,15,0.576,0.706,3,-8.235,1,0.0252,0.0322,0.898,169631,0.18,92.517,4,0.438,2022-03-02
spotify:track:7Fad43jYpNg10wa8E9yhZ4,23,0.701,0.497,5,-6.888,1,0.0462,0.662,0.000359,186039,0.375,131.979,4,0.684,2021-09-03
spotify:track:7i0PNWTUDQewYE3YK2wTtc,16,0.75,0.372,2,-14.004,0,0.0382,0.425,0.000205,213000,0.0958,109.98,4,0.198,2022-01-14
spotify:track:1WHXFNYQBjxeDPyB7FxSrI,30,0.67,0.853,0,-5.962,1,0.0389,0.0858,2.1e-05,158480,0.125,144.272,4,0.684,2022-01-05
spotify:track:4R9CJUZVrHTyL8L1bkVlAT,37,0.438,0.331,7,-9.537,1,0.0298,0.359,2.46e-05,317271,0.118,122.031,3,0.273,2021-11-12
spotify:track:7yZ1UoujArcuWnnTZGFhTp,16,0.825,0.596,5,-13.913,1,0.0389,0.374,0.697,192868,0.11,129.011,4,0.919,2021-12-03
spotify:track:39bV2N3UOH6GttXFNMjPIC,26,0.713,0.439,9,-12.676,1,0.039,0.801,0.173,152323,0.0971,135.98,4,0.373,2021-11-12
spotify:track:4ferMqHtZ5BLUWRSoG5CrF,14,0.391,0.634,11,-5.219,0,0.0386,0.0815,1.76e-05,214108,0.401,74.926,4,0.293,2021-09-02
spotify:track:7ITZhwSBhX29UgJQjcru3r,21,0.524,0.521,9,-6.631,0,0.0294,0.262,0.0227,184333,0.0907,145.111,4,0.228,2021-09-24
spotify:track:3SHInK81jewgykjqmMoqcb,22,0.514,0.836,3,-6.972,0,0.0322,0.196,0.241,249919,0.111,102.985,4,0.234,2021-10-22
spotify:track:4jTHHhvBLjEkllhKqSW3a1,7,0.778,0.525,11,-10.334,0,0.0734,0.461,0.192,191904,0.173,119.974,4,0.639,2021-12-03
spotify:track:2VSTLMgtitzf5eESf3GfFH,5,0.68,0.493,8,-9.739,0,0.0302,0.0391,0.0477,232520,0.247,98.961,4,0.469,2021-10-19
spotify:track:4pI1lndrhQ0Aa9OHi5KTrQ,20,0.595,0.674,5,-7.433,0,0.0545,0.11,7.28e-05,138348,0.116,78.989,4,0.691,2021-10-04
spotify:track:4lzqAYUoTcxz6araWhlNvg,0,0.687,0.836,8,-6.948,1,0.0737,0.0939,2.38e-06,208386,0.184,118.031,4,0.538,2021-10-04
spotify:track:7GFJXV7IrqDC0LcjkgCzmX,18,0.798,0.605,9,-6.21,1,0.0743,0.0892,1.4e-05,174078,0.0876,124.96,4,0.598,2021-09-29
spotify:track:7qN8Xlyf3KibSeLkbpm1xB,1,0.733,0.752,7,-7.531,0,0.0323,0.169,7.69e-05,265254,0.521,119.968,4,0.665,2021-10-01
spotify:track:5X5q76fe8LHiYG9STQmVDv,28,0.66,0.572,4,-7.035,1,0.108,0.222,0.603,154972,0.124,88.028,4,0.491,2021-09-14
spotify:track:0MyKoHAELkLvwDoimU4PzC,0,0.438,0.641,5,-7.399,0,0.0385,0.00114,0.215,238267,0.14,130.98,4,0.111,2021-09-29
spotify:track:3MT7zL7gbFjzMRHSYBEUqJ,13,0.724,0.821,0,-3.304,1,0.0658,0.438,4.52e-05,176280,0.189,109.001,4,0.701,2021-09-24
spotify:track:0uaV3zL9mYPD5AgK2UJ3mM,5,0.67,0.665,0,-6.847,1,0.058,0.315,1.97e-06,154070,0.12,120.081,4,0.556,2021-09-08
